iter	Passed	Remaining
0	1274	3821575
1	2527	3789388
2	3850	3846971
3	5123	3837294
4	6433	3853467
5	7698	3841570
6	8903	3806954
7	10165	3802072
8	11384	3783296
9	12563	3756627
10	13832	3758577
11	15092	3758136
12	16345	3755714
13	17571	3747802
14	18750	3731339
15	19998	3729639
16	21209	3721662
17	22479	3724088
18	23660	3712181
19	24908	3711413
20	26313	3732824
21	27569	3731933
22	28860	3735611
23	30205	3745456
24	31431	3740394
25	32731	3743954
26	34045	3748803
27	35309	3747877
28	36707	3760648
29	37870	3749205
30	39095	3744306
31	40427	3749648
32	41677	3747203
33	42995	3750727
34	44225	3746546
35	45462	3743083
36	46747	3743569
37	48045	3745009
38	49247	3739010
39	50458	3733935
40	51696	3730958
41	52905	3726088
42	54178	3725714
43	55356	3718956
44	56600	3716785
45	57954	3721715
46	59279	3724548
47	60590	3726302
48	61938	3730215
49	63214	3729644
50	64470	3727940
51	65722	3725966
52	66993	3725087
53	68215	3721511
54	69447	3718600
55	70754	3719665
56	72064	3720813
57	73370	3721653
58	74603	3718786
59	75824	3715406
60	77049	3712282
61	78246	3707889
62	79451	3703961
63	80715	3702815
64	81922	3699099
65	83124	3695241
66	84332	3691758
67	85559	3689140
68	86767	3685747
69	87979	3682579
70	89177	3678899
71	90501	3680410
72	91719	3677576
73	92984	3676651
74	94296	3677563
75	95503	3674385
76	96785	3674083
77	98064	3673641
78	99275	3670681
79	100517	3668879
80	101794	3668354
81	102982	3664686
82	104222	3662869
83	105395	3658736
84	106736	3660420
85	107917	3656641
86	109077	3652205
87	110391	3652967
88	111583	3649664
89	112782	3646646
90	114014	3644693
91	115358	3646346
92	116545	3642974
93	117754	3640376
94	119020	3639529
95	120219	3636638
96	121491	3635977
97	122772	3635569
98	124085	3636080
99	125497	3639425
100	126751	3638131
101	127896	3633755
102	129102	3631154
103	130235	3626555
104	131477	3625022
105	132668	3622112
106	133942	3621457
107	135130	3618505
108	136309	3615326
109	137530	3613303
110	138670	3609190
111	139910	3607696
112	141083	3604489
113	142397	3604901
114	143678	3604444
115	144952	3603825
116	146198	3602492
117	147514	3602844
118	148720	3600529
119	149929	3598315
120	151163	3596685
121	152378	3594622
122	153641	3593716
123	154835	3591189
124	155987	3587707
125	157175	3585099
126	158468	3584875
127	159615	3581381
128	160756	3577760
